uid,first_name,last_name,years_of_experience,uid
1351,fp0,lp0,1,713
1352,fp1,lp1,2,727
1353,fp2,lp2,3,1100
1354,fp3,lp3,4,1036
1355,fp4,lp4,5,875
1356,fp5,lp5,6,1331
1357,fp6,lp6,7,1286
1358,fp7,lp7,8,1060
1359,fp8,lp8,9,1292
1360,fp9,lp9,10,1242
1361,fp10,lp10,11,1247
1362,fp11,lp11,1,833
1363,fp12,lp12,2,875
1364,fp13,lp13,3,1010
1365,fp14,lp14,4,1182
1366,fp15,lp15,5,819
1367,fp16,lp16,6,916
1368,fp17,lp17,7,1005
1369,fp18,lp18,8,808
1370,fp19,lp19,9,1194
1371,fp20,lp20,10,1189
1372,fp21,lp21,11,737
1373,fp22,lp22,1,1126
1374,fp23,lp23,2,821
1375,fp24,lp24,3,1001
1376,fp25,lp25,4,969
1377,fp26,lp26,5,1113
1378,fp27,lp27,6,751
1379,fp28,lp28,7,1228
1380,fp29,lp29,8,1232
1381,fp30,lp30,9,976
1382,fp31,lp31,10,794
1383,fp32,lp32,11,885
1384,fp33,lp33,1,1172
1385,fp34,lp34,2,848
1386,fp35,lp35,3,866
1387,fp36,lp36,4,967
1388,fp37,lp37,5,1051
1389,fp38,lp38,6,1017
1390,fp39,lp39,7,682
1391,fp40,lp40,8,943
1392,fp41,lp41,9,1326
1393,fp42,lp42,10,1037
1394,fp43,lp43,11,1209
1395,fp44,lp44,1,713
1396,fp45,lp45,2,1208
1397,fp46,lp46,3,1211
1398,fp47,lp47,4,1110
1399,fp48,lp48,5,969
1400,fp49,lp49,6,1269
1401,fp50,lp50,7,729
1402,fp51,lp51,8,842
1403,fp52,lp52,9,1210
1404,fp53,lp53,10,1236
1405,fp54,lp54,11,997
1406,fp55,lp55,1,1266
1407,fp56,lp56,2,694
1408,fp57,lp57,3,997
1409,fp58,lp58,4,1240
1410,fp59,lp59,5,808
1411,fp60,lp60,6,993
1412,fp61,lp61,7,716
1413,fp62,lp62,8,1326
1414,fp63,lp63,9,766
1415,fp64,lp64,10,1258
1416,fp65,lp65,11,1016
1417,fp66,lp66,1,1337
1418,fp67,lp67,2,999
1419,fp68,lp68,3,1050
1420,fp69,lp69,4,1068
1421,fp70,lp70,5,1217
1422,fp71,lp71,6,690
1423,fp72,lp72,7,891
